2026-08-02 11:57:27.215729 W VkSuggestions: slow frame 21,4ms locales=1 typedLen=1 candidates=14
2026-08-02 11:57:27.467939 W VkSuggestions: slow frame 22,7ms locales=1 typedLen=2 candidates=14
2026-08-02 11:57:27.708096 W VkSuggestions: slow frame 20,7ms locales=1 typedLen=3 candidates=14
2026-08-02 11:57:29.160744 W VkSuggestions: slow frame 20,7ms locales=1 typedLen=4 candidates=14
2026-08-02 11:57:34.972398 W VkSuggestions: slow frame 22,0ms locales=1 typedLen=2 candidates=14
2026-08-02 11:57:38.953886 W VkSuggestions: slow frame 19,4ms locales=1 typedLen=3 candidates=14
2026-08-02 11:57:43.894024 W VkSuggestions: slow frame 24,4ms locales=1 typedLen=3 candidates=14
2026-08-02 12:01:29.787057 W VkSuggestions: slow frame 24,2ms locales=1 typedLen=1 candidates=14
2026-08-02 12:03:08.181107 W VkSuggestions: slow frame 25,1ms locales=1 typedLen=1 candidates=14
2026-08-02 12:06:22.029591 W VkSuggestions: slow frame 25,0ms locales=1 typedLen=1 candidates=14
2026-08-02 12:07:29.970269 W VkSuggestions: slow frame 16,5ms locales=1 typedLen=1 candidates=14
2026-08-02 12:07:52.418560 W VkSuggestions: slow frame 27,2ms locales=1 typedLen=4 candidates=14
2026-08-02 12:11:46.387654 W VkSuggestions: slow frame 20,0ms locales=1 typedLen=1 candidates=14
2026-08-02 12:11:46.599921 W VkSuggestions: slow frame 17,5ms locales=1 typedLen=2 candidates=14
2026-08-02 12:11:56.396499 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=1 candidates=14
2026-08-02 12:46:52.800969 W VkSuggestions: slow frame 45,1ms locales=1 typedLen=2 candidates=14
2026-08-02 12:47:43.370796 W VkSuggestions: slow frame 25,6ms locales=1 typedLen=1 candidates=14
2026-08-02 12:51:16.643557 W VkSuggestions: slow frame 20,5ms locales=1 typedLen=1 candidates=14
2026-08-02 12:51:16.908588 W VkSuggestions: slow frame 16,6ms locales=1 typedLen=2 candidates=14
2026-08-02 12:51:57.792725 W VkSuggestions: slow frame 17,4ms locales=1 typedLen=2 candidates=14
2026-08-02 13:11:18.188390 W VkSuggestions: slow frame 20,2ms locales=1 typedLen=1 candidates=14
2026-08-02 13:11:18.463067 W VkSuggestions: slow frame 24,9ms locales=1 typedLen=2 candidates=14
2026-08-02 13:11:26.716391 W VkSuggestions: slow frame 18,9ms locales=1 typedLen=4 candidates=14
2026-08-02 13:11:31.881143 W VkSuggestions: slow frame 17,6ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:34.540122 W VkSuggestions: slow frame 19,2ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:36.316022 W VkSuggestions: slow frame 23,3ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:37.951386 W VkSuggestions: slow frame 22,5ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:39.629810 W VkSuggestions: slow frame 27,9ms locales=1 typedLen=5 candidates=14
2026-08-02 13:11:43.551746 W VkSuggestions: slow frame 17,8ms locales=1 typedLen=4 candidates=14
2026-08-02 13:11:49.213386 W VkSuggestions: slow frame 22,8ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:57.840786 W VkSuggestions: slow frame 20,8ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:59.540966 W VkSuggestions: slow frame 22,9ms locales=1 typedLen=4 candidates=14
2026-08-02 13:11:59.690597 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:01.894251 W VkSuggestions: slow frame 21,7ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:02.116656 W VkSuggestions: slow frame 22,9ms locales=1 typedLen=4 candidates=14
2026-08-02 13:12:03.189100 W VkSuggestions: slow frame 17,3ms locales=1 typedLen=5 candidates=14
2026-08-02 13:12:03.396929 W VkSuggestions: slow frame 16,9ms locales=1 typedLen=6 candidates=14
2026-08-02 13:12:06.646182 W VkSuggestions: slow frame 19,1ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:12.905288 W VkSuggestions: slow frame 16,4ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:16.536697 W VkSuggestions: slow frame 19,3ms locales=1 typedLen=4 candidates=14
2026-08-02 13:12:19.716063 W VkSuggestions: slow frame 19,4ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:25.805725 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=6 candidates=14
2026-08-02 13:16:24.098928 W VkSuggestions: slow frame 23,8ms locales=1 typedLen=4 candidates=14
2026-08-02 13:16:28.343985 W VkSuggestions: slow frame 22,7ms locales=1 typedLen=4 candidates=14
2026-08-02 13:16:34.057166 W VkSuggestions: slow frame 16,9ms locales=1 typedLen=3 candidates=14
2026-08-02 13:16:34.225278 W VkSuggestions: slow frame 17,5ms locales=1 typedLen=4 candidates=14
2026-08-02 13:16:38.896721 W VkSuggestions: slow frame 22,1ms locales=1 typedLen=4 candidates=14
2026-08-02 13:16:39.961382 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=5 candidates=14
2026-08-02 13:16:42.032511 W VkSuggestions: slow frame 19,7ms locales=1 typedLen=3 candidates=14
2026-08-02 13:16:42.338120 W VkSuggestions: slow frame 22,6ms locales=1 typedLen=5 candidates=14
2026-08-02 13:16:43.924706 W VkSuggestions: slow frame 23,4ms locales=1 typedLen=3 candidates=14
2026-08-03 00:23:10.535684 W VkSuggestions: slow frame 17,9ms locales=1 typedLen=3 candidates=14
2026-08-03 00:23:14.618035 W VkSuggestions: slow frame 57,5ms locales=1 typedLen=6 candidates=14
2026-08-03 00:23:20.072516 W VkSuggestions: slow frame 29,1ms locales=1 typedLen=3 candidates=14
2026-08-03 00:23:21.636455 W VkSuggestions: slow frame 20,4ms locales=1 typedLen=3 candidates=14
2026-08-03 00:23:32.218025 W VkSuggestions: slow frame 16,7ms locales=1 typedLen=1 candidates=14
2026-08-03 00:23:32.459811 W VkSuggestions: slow frame 19,8ms locales=1 typedLen=3 candidates=13
2026-08-03 00:23:42.797435 W VkSuggestions: slow frame 28,7ms locales=1 typedLen=3 candidates=14
2026-08-03 00:23:44.369649 W VkSuggestions: slow frame 21,0ms locales=1 typedLen=7 candidates=14
2026-08-03 00:23:44.614603 W VkSuggestions: slow frame 17,5ms locales=1 typedLen=6 candidates=14
2026-08-03 00:23:45.095373 W VkSuggestions: slow frame 17,4ms locales=1 typedLen=3 candidates=14
2026-08-03 00:23:46.909544 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=3 candidates=14
2026-08-03 00:23:47.063079 W VkSuggestions: slow frame 38,0ms locales=1 typedLen=4 candidates=14
2026-08-03 00:23:47.594094 W VkSuggestions: slow frame 16,8ms locales=1 typedLen=7 candidates=14
2026-08-03 00:23:48.491956 W VkSuggestions: slow frame 18,8ms locales=1 typedLen=7 candidates=14
2026-08-03 00:23:48.860233 W VkSuggestions: slow frame 17,9ms locales=1 typedLen=5 candidates=14
2026-08-03 00:23:51.514351 W VkSuggestions: slow frame 17,4ms locales=1 typedLen=3 candidates=14
2026-08-03 00:23:51.963661 W VkSuggestions: slow frame 19,3ms locales=1 typedLen=6 candidates=14
2026-08-03 00:23:52.868684 W VkSuggestions: slow frame 16,1ms locales=1 typedLen=6 candidates=14
2026-08-03 00:23:53.400988 W VkSuggestions: slow frame 19,0ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:02.840327 W VkSuggestions: slow frame 19,0ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:04.303049 W VkSuggestions: slow frame 21,3ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:11.042963 W VkSuggestions: slow frame 25,2ms locales=1 typedLen=4 candidates=14
2026-08-03 00:24:20.282646 W VkSuggestions: slow frame 18,6ms locales=1 typedLen=2 candidates=14
2026-08-03 00:24:20.564660 W VkSuggestions: slow frame 19,9ms locales=1 typedLen=4 candidates=14
2026-08-03 00:24:24.523129 W VkSuggestions: slow frame 18,7ms locales=1 typedLen=4 candidates=14
2026-08-03 00:24:31.129521 W VkSuggestions: slow frame 17,0ms locales=1 typedLen=4 candidates=14
2026-08-03 00:24:32.863946 W VkSuggestions: slow frame 23,2ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:35.087301 W VkSuggestions: slow frame 16,2ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:38.686978 W VkSuggestions: slow frame 16,9ms locales=1 typedLen=4 candidates=14
2026-08-03 00:24:44.208708 W VkSuggestions: slow frame 19,1ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:45.393881 W VkSuggestions: slow frame 18,9ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:50.143826 W VkSuggestions: slow frame 16,3ms locales=1 typedLen=4 candidates=14
2026-08-03 00:24:51.943822 W VkSuggestions: slow frame 18,4ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:52.188018 W VkSuggestions: slow frame 17,6ms locales=1 typedLen=4 candidates=14
2026-08-03 00:24:53.405846 W VkSuggestions: slow frame 19,8ms locales=1 typedLen=4 candidates=14
2026-08-03 00:24:58.227523 W VkSuggestions: slow frame 24,5ms locales=1 typedLen=1 candidates=14
2026-08-03 00:24:58.480879 W VkSuggestions: slow frame 26,0ms locales=1 typedLen=3 candidates=14
2026-08-03 00:24:58.613817 W VkSuggestions: slow frame 16,8ms locales=1 typedLen=4 candidates=14
2026-08-03 00:25:03.068320 W VkSuggestions: slow frame 27,8ms locales=1 typedLen=3 candidates=14
2026-08-03 00:25:11.950191 W VkSuggestions: slow frame 26,2ms locales=1 typedLen=3 candidates=14
