2026-08-02 13:11:25.757362 I VkNgram: merge locale=pt prev=len=4 preds=8 contextual=0 assets=true
2026-08-02 13:11:25.759214 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=1 locale=pt token=619 gen=23
2026-08-02 13:11:25.932178 I VkNgram: merge locale=pt prev=len=5 preds=8 contextual=0 assets=true
2026-08-02 13:11:26.718668 I VkSuggestions: strip composing typedLen=4 candidates=14 autocorrect=false top=len=4 locale=pt token=620 gen=23
2026-08-02 13:11:26.800690 I AdManager: resume-deferred fire suspended=false
2026-08-02 13:11:28.415262 I VkStripPipeline: langSwitch main=pt-BR token=622 gen=24
2026-08-02 13:11:28.418353 I VkLanguageSettings: select en-US
2026-08-02 13:11:28.439584 I VkDictionaries: ✓ open emoji en-US
2026-08-02 13:11:28.469342 I VkLanguageSettings: cycle dir=1 → en-US
2026-08-02 13:11:28.479220 I DictionaryFacilitator: resetDictionaries, force reloading main dictionary: false
2026-08-02 13:11:28.483636 I VkMultilingual: reset main=en-US locales=[en] count=1
2026-08-02 13:11:28.486864 I VkDictionaries: ▶ async reload main dicts locales=1
2026-08-02 13:11:28.496794 I VkDictionaries: ✓ open main en-US
2026-08-02 13:11:28.497964 I VkDictionaries: ✓ open emoji en-US
2026-08-02 13:11:28.498093 I VkDictionaries: collection en-US dicts=2 emoji=true
2026-08-02 13:11:28.889876 I VkLocaleAssets: preload predictors en-US
2026-08-02 13:11:29.688484 I VkKeyPress: keys pressed=386
2026-08-02 13:11:29.792952 I VkNgram: merge locale=en prev=len=4 preds=8 contextual=8 assets=true
2026-08-02 13:11:29.794025 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=en token=624 gen=24
2026-08-02 13:11:29.945890 I VkKeyPreview: show burst=5 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:11:30.014393 I VkKeyPreview: dismiss burst=5 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:11:30.225013 I VkSuggestions: strip composing typedLen=2 candidates=14 autocorrect=false top=len=2 locale=en token=627 gen=24
2026-08-02 13:11:30.373475 I VkTextCorrection: threshold len=3→len=2 score=0,118 thr=0,140 ○
2026-08-02 13:11:30.375185 I VkSuggestions: strip composing typedLen=3 candidates=15 autocorrect=false top=len=3 locale=en token=627 gen=24
2026-08-02 13:11:31.156555 I VkSuggestions: strip composing typedLen=2 candidates=14 autocorrect=false top=len=2 locale=en token=628 gen=24
2026-08-02 13:11:31.329009 I VkAutocorrect: kept (typing): len=2
2026-08-02 13:11:31.430716 I VkNgram: merge locale=en prev=len=2 preds=8 contextual=8 assets=true
2026-08-02 13:11:31.432543 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=3 locale=en token=630 gen=25
2026-08-02 13:11:31.624099 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=en token=631 gen=25
2026-08-02 13:11:31.882927 I VkTextCorrection: threshold len=3→len=3 score=0,163 thr=0,140 ✓
2026-08-02 13:11:31.884949 I VkAutocorrect: will correct: len=3 → len=3
2026-08-02 13:11:31.885140 I VkSuggestions: strip composing typedLen=3 candidates=15 autocorrect=true top=len=3 locale=en token=632 gen=25
2026-08-02 13:11:32.094991 I VkAutocorrect: committed (typing): len=3 → len=3
2026-08-02 13:11:32.198008 I VkNgram: contextual locale=en prev=len=3 → len=4, len=4, len=4
2026-08-02 13:11:32.198227 I VkNgram: merge locale=en prev=len=3 preds=8 contextual=5 assets=true
2026-08-02 13:11:32.198610 I VkTextCorrection: rerank prediction head len=7→len=4
2026-08-02 13:11:32.200019 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=4 locale=en token=633 gen=26
2026-08-02 13:11:34.047614 I VkKeyPreview: show burst=6 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:11:34.087555 I VkKeyPreview: dismiss burst=6 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:11:34.087732 I VkKeyPress: keys pressed=396
2026-08-02 13:11:34.213987 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=en token=634 gen=26
2026-08-02 13:11:34.542360 I VkSuggestions: strip composing typedLen=3 candidates=14 autocorrect=false top=len=3 locale=en token=636 gen=26
2026-08-02 13:11:34.766695 I VkSuggestions: strip composing typedLen=4 candidates=12 autocorrect=false top=len=4 locale=en token=638 gen=26
2026-08-02 13:11:34.790389 I VkAutocorrect: kept (typing): len=4
2026-08-02 13:11:34.893892 I VkNgram: merge locale=en prev=len=4 preds=8 contextual=8 assets=true
2026-08-02 13:11:34.895705 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=6 locale=en token=638 gen=27
2026-08-02 13:11:35.941175 I VkTextCorrection: rerank composing head len=2→len=2
2026-08-02 13:11:35.942819 I VkSuggestions: strip composing typedLen=1 candidates=11 autocorrect=false top=len=1 locale=en token=639 gen=27
2026-08-02 13:11:36.107011 I VkSuggestions: strip composing typedLen=2 candidates=13 autocorrect=false top=len=2 locale=en token=640 gen=27
2026-08-02 13:11:36.317202 I VkTextCorrection: threshold len=3→len=4 score=0,256 thr=0,140 ✓
2026-08-02 13:11:36.318610 I VkAutocorrect: will correct: len=3 → len=4
2026-08-02 13:11:36.318740 I VkSuggestions: strip composing typedLen=3 candidates=15 autocorrect=true top=len=3 locale=en token=641 gen=27
2026-08-02 13:11:37.606466 I VkKeyPress: keys pressed=404
2026-08-02 13:11:37.715002 I VkSuggestions: strip composing typedLen=2 candidates=13 autocorrect=false top=len=2 locale=en token=642 gen=27
2026-08-02 13:11:37.740350 I VkKeyPreview: show burst=7 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:11:37.744520 I VkStripPipeline: staleDrop token token=642 gen=27
2026-08-02 13:11:37.811769 I VkKeyPreview: dismiss burst=7 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:11:37.952840 I VkTextCorrection: threshold len=3→len=2 score=0,109 thr=0,140 ○
2026-08-02 13:11:37.954437 I VkSuggestions: strip composing typedLen=3 candidates=15 autocorrect=false top=len=3 locale=en token=644 gen=27
2026-08-02 13:11:38.106905 I VkTextCorrection: threshold len=4→len=9 score=0,048 thr=0,140 ○
2026-08-02 13:11:38.108580 I VkSuggestions: strip composing typedLen=4 candidates=15 autocorrect=false top=len=4 locale=en token=644 gen=27
2026-08-02 13:11:38.329429 I VkTextCorrection: threshold len=5→len=9 score=0,087 thr=0,140 ○
2026-08-02 13:11:38.330989 I VkSuggestions: strip composing typedLen=5 candidates=15 autocorrect=false top=len=5 locale=en token=645 gen=27
2026-08-02 13:11:38.584068 I VkTextCorrection: threshold len=6→len=6 score=0,345 thr=0,140 ✓
2026-08-02 13:11:38.586256 I VkAutocorrect: will correct: len=6 → len=6
2026-08-02 13:11:38.586444 I VkSuggestions: strip composing typedLen=6 candidates=14 autocorrect=true top=len=6 locale=en token=646 gen=27
2026-08-02 13:11:39.632512 I VkTextCorrection: threshold len=5→len=9 score=0,087 thr=0,140 ○
2026-08-02 13:11:39.634444 I VkSuggestions: strip composing typedLen=5 candidates=15 autocorrect=false top=len=5 locale=en token=647 gen=27
2026-08-02 13:11:40.204566 I VkAutocorrect: picked: len=9
2026-08-02 13:11:40.310345 I VkNgram: merge locale=en prev=len=9 preds=8 contextual=8 assets=true
2026-08-02 13:11:40.311003 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=en token=647 gen=28
2026-08-02 13:11:41.220576 I VkKeyPreview: show burst=4 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:11:41.317838 I VkKeyPreview: dismiss burst=4 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:11:41.318055 I VkKeyPress: keys pressed=410
2026-08-02 13:11:41.464427 I VkSuggestions: strip composing typedLen=1 candidates=14 autocorrect=false top=len=1 locale=en token=648 gen=28
2026-08-02 13:11:42.668713 I VkSuggestions: strip composing typedLen=2 candidates=14 autocorrect=false top=len=2 locale=en token=649 gen=28
2026-08-02 13:11:43.146082 I VkTextCorrection: threshold len=3→len=5 score=0,123 thr=0,140 ○
2026-08-02 13:11:43.147628 I VkSuggestions: strip composing typedLen=3 candidates=14 autocorrect=false top=len=3 locale=en token=650 gen=28
2026-08-02 13:11:43.554668 I VkSuggestions: strip composing typedLen=4 candidates=14 autocorrect=false top=len=4 locale=en token=651 gen=28
2026-08-02 13:11:44.487211 I VkAutocorrect: picked: len=5
2026-08-02 13:11:44.591378 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=4 locale=en token=651 gen=29
2026-08-02 13:11:45.702501 I VkAutocorrect: picked: len=4
2026-08-02 13:11:45.805357 I VkNgram: merge locale=en prev=len=4 preds=8 contextual=8 assets=true
2026-08-02 13:11:45.807342 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=5 locale=en token=651 gen=30
2026-08-02 13:11:46.552029 I VkKeyPreview: show burst=4 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:11:46.676364 I VkKeyPreview: dismiss burst=4 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:11:46.676592 I VkKeyPress: keys pressed=414
2026-08-02 13:11:46.815392 I VkSuggestions: strip composing typedLen=1 candidates=14 autocorrect=false top=len=1 locale=en token=652 gen=30
2026-08-02 13:11:47.466724 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=5 locale=en token=654 gen=30
2026-08-02 13:11:47.539036 I VkTextCorrection: rerank composing head len=4→len=5
2026-08-02 13:11:47.540455 I VkSuggestions: strip composing typedLen=4 candidates=13 autocorrect=false top=len=4 locale=en token=654 gen=30
2026-08-02 13:11:47.933553 I VkSuggestions: strip composing typedLen=5 candidates=12 autocorrect=false top=len=5 locale=en token=655 gen=30
2026-08-02 13:11:48.581871 I VkAutocorrect: kept (typing): len=5
2026-08-02 13:11:48.684444 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=3 locale=en token=656 gen=31
2026-08-02 13:11:48.974494 I VkTextCorrection: rerank composing head len=2→len=3
2026-08-02 13:11:48.976086 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=en token=658 gen=31
2026-08-02 13:11:49.216422 I VkSuggestions: strip composing typedLen=3 candidates=13 autocorrect=false top=len=3 locale=en token=660 gen=31
2026-08-02 13:11:49.251886 I VkAutocorrect: kept (typing): len=3
2026-08-02 13:11:49.355019 I VkNgram: merge locale=en prev=len=3 preds=8 contextual=8 assets=true
2026-08-02 13:11:49.356579 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=3 locale=en token=660 gen=32
2026-08-02 13:11:57.410626 I VkKeyPreview: show burst=5 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:11:57.465873 I VkKeyPreview: dismiss burst=5 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:11:57.466042 I VkKeyPress: keys pressed=423
2026-08-02 13:11:57.594592 I VkTextCorrection: threshold len=1→len=1 score=0,000 thr=0,140 ○
2026-08-02 13:11:57.596663 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=en token=662 gen=32
2026-08-02 13:11:57.843961 I VkSuggestions: strip composing typedLen=3 candidates=13 autocorrect=false top=len=3 locale=en token=664 gen=32
2026-08-02 13:11:57.972340 I VkTextCorrection: threshold len=4→len=4 score=0,363 thr=0,140 ✓
2026-08-02 13:11:57.974071 I VkAutocorrect: will correct: len=4 → len=4
2026-08-02 13:11:57.974216 I VkSuggestions: strip composing typedLen=4 candidates=14 autocorrect=true top=len=4 locale=en token=665 gen=32
2026-08-02 13:11:58.094180 I VkTextCorrection: threshold len=5→len=5 score=0,213 thr=0,140 ✓
2026-08-02 13:11:58.095552 I VkAutocorrect: will correct: len=5 → len=5
2026-08-02 13:11:58.095848 I VkSuggestions: strip composing typedLen=5 candidates=12 autocorrect=true top=len=5 locale=en token=665 gen=32
2026-08-02 13:11:59.544157 I VkTextCorrection: threshold len=4→len=4 score=0,363 thr=0,140 ✓
2026-08-02 13:11:59.547103 I VkAutocorrect: will correct: len=4 → len=4
2026-08-02 13:11:59.547302 I VkSuggestions: strip composing typedLen=4 candidates=14 autocorrect=true top=len=4 locale=en token=667 gen=32
2026-08-02 13:11:59.693420 I VkSuggestions: strip composing typedLen=3 candidates=13 autocorrect=false top=len=3 locale=en token=668 gen=32
2026-08-02 13:11:59.819553 I VkTextCorrection: threshold len=2→len=2 score=0,191 thr=0,140 ✓
2026-08-02 13:11:59.821343 I VkSuggestions: strip composing typedLen=2 candidates=15 autocorrect=false top=len=2 locale=en token=668 gen=32
2026-08-02 13:12:00.352150 I VkTextCorrection: threshold len=1→len=1 score=0,000 thr=0,140 ○
2026-08-02 13:12:00.353589 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=en token=670 gen=32
2026-08-02 13:12:00.513181 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=3 locale=en token=670 gen=32
2026-08-02 13:12:01.006209 I VkKeyPreview: show burst=5 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:12:01.073720 I VkKeyPreview: dismiss burst=5 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:12:01.073885 I VkKeyPress: keys pressed=433
2026-08-02 13:12:01.198151 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=en token=671 gen=32
2026-08-02 13:12:01.644073 I VkTextCorrection: threshold len=2→len=3 score=0,211 thr=0,140 ✓
2026-08-02 13:12:01.645276 I VkAutocorrect: will correct: len=2 → len=3
2026-08-02 13:12:01.645411 I VkSuggestions: strip composing typedLen=2 candidates=15 autocorrect=true top=len=2 locale=en token=672 gen=32
2026-08-02 13:12:01.896321 I VkTextCorrection: rerank composing head len=3→len=2
2026-08-02 13:12:01.900872 I VkSuggestions: strip composing typedLen=3 candidates=14 autocorrect=false top=len=3 locale=en token=673 gen=32
2026-08-02 13:12:02.118186 I VkTextCorrection: threshold len=4→len=2 score=0,000 thr=0,140 ○
2026-08-02 13:12:02.119435 I VkSuggestions: strip composing typedLen=4 candidates=15 autocorrect=false top=len=4 locale=en token=674 gen=32
2026-08-02 13:12:03.191089 I VkTextCorrection: threshold len=5→len=8 score=0,136 thr=0,140 ○
2026-08-02 13:12:03.192950 I VkSuggestions: strip composing typedLen=5 candidates=16 autocorrect=false top=len=5 locale=en token=675 gen=32
2026-08-02 13:12:03.398332 I VkTextCorrection: rerank composing head len=10→len=2
2026-08-02 13:12:03.398635 I VkTextCorrection: threshold len=6→len=2 score=0,000 thr=0,140 ○
2026-08-02 13:12:03.399972 I VkSuggestions: strip composing typedLen=6 candidates=14 autocorrect=false top=len=6 locale=en token=676 gen=32
2026-08-02 13:12:04.167420 I VkAutocorrect: picked: len=6
2026-08-02 13:12:04.272923 I VkTextCorrection: rerank prediction head len=3→len=2
2026-08-02 13:12:04.273830 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=en token=676 gen=33
2026-08-02 13:12:04.769621 I VkKeyPreview: show burst=6 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:12:04.814575 I VkKeyPreview: dismiss burst=6 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:12:04.814746 I VkKeyPress: keys pressed=439
2026-08-02 13:12:04.956914 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=en token=677 gen=33
2026-08-02 13:12:05.157582 I VkSuggestions: strip composing typedLen=2 candidates=14 autocorrect=false top=len=2 locale=en token=678 gen=33
2026-08-02 13:12:06.647479 I VkTextCorrection: rerank composing head len=8→len=6
2026-08-02 13:12:06.649752 I VkSuggestions: strip composing typedLen=3 candidates=14 autocorrect=false top=len=3 locale=en token=680 gen=33
2026-08-02 13:12:06.814435 I VkTextCorrection: threshold len=4→len=6 score=0,205 thr=0,140 ✓
2026-08-02 13:12:06.815792 I VkAutocorrect: will correct: len=4 → len=6
2026-08-02 13:12:06.815903 I VkSuggestions: strip composing typedLen=4 candidates=15 autocorrect=true top=len=4 locale=en token=680 gen=33
2026-08-02 13:12:08.241302 I VkKeyPreview: show burst=4 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:12:08.288486 I VkKeyPreview: dismiss burst=4 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:12:08.288656 I VkKeyPress: keys pressed=443
2026-08-02 13:12:08.397985 I VkTextCorrection: threshold len=5→len=9 score=0,106 thr=0,140 ○
2026-08-02 13:12:08.399081 I VkSuggestions: strip composing typedLen=5 candidates=15 autocorrect=false top=len=5 locale=en token=681 gen=33
2026-08-02 13:12:08.604924 I VkTextCorrection: threshold len=6→len=9 score=0,159 thr=0,140 ✓
2026-08-02 13:12:08.605093 I VkAutocorrect: skipped: len=6 — expansion limit
2026-08-02 13:12:08.606687 I VkSuggestions: strip composing typedLen=6 candidates=15 autocorrect=false top=len=6 locale=en token=683 gen=33
2026-08-02 13:12:08.757108 I VkSuggestions: strip composing typedLen=7 candidates=13 autocorrect=false top=len=7 locale=en token=683 gen=33
2026-08-02 13:12:08.954546 I VkSuggestions: strip composing typedLen=8 candidates=12 autocorrect=false top=len=8 locale=en token=684 gen=33
2026-08-02 13:12:09.729400 I VkAutocorrect: picked: len=8
2026-08-02 13:12:09.837402 I VkNgram: merge locale=en prev=len=8 preds=8 contextual=8 assets=true
2026-08-02 13:12:09.838964 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=en token=684 gen=34
2026-08-02 13:12:10.156790 I VkSuggestions: strip composing typedLen=1 candidates=14 autocorrect=false top=len=1 locale=en token=686 gen=34
2026-08-02 13:12:10.279368 I VkSuggestions: strip composing typedLen=2 candidates=14 autocorrect=false top=len=2 locale=en token=687 gen=34
2026-08-02 13:12:10.408202 I VkTextCorrection: threshold len=3→len=3 score=0,324 thr=0,140 ✓
2026-08-02 13:12:10.409703 I VkAutocorrect: will correct: len=3 → len=3
2026-08-02 13:12:10.409849 I VkSuggestions: strip composing typedLen=3 candidates=15 autocorrect=true top=len=3 locale=en token=688 gen=34
2026-08-02 13:12:10.534394 I VkTextCorrection: threshold len=4→len=4 score=0,000 thr=0,140 ○
2026-08-02 13:12:10.535934 I VkSuggestions: strip composing typedLen=4 candidates=14 autocorrect=false top=len=4 locale=en token=688 gen=34
2026-08-02 13:12:11.566770 I VkAutocorrect: picked: len=3
2026-08-02 13:12:11.671471 I VkNgram: merge locale=en prev=len=3 preds=8 contextual=8 assets=true
2026-08-02 13:12:11.672196 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=3 locale=en token=688 gen=35
2026-08-02 13:12:12.271276 I VkKeyPreview: show burst=8 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:12:12.330402 I VkKeyPreview: dismiss burst=8 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:12:12.330576 I VkKeyPress: keys pressed=451
2026-08-02 13:12:12.467073 I VkTextCorrection: rerank composing head len=2→len=4
2026-08-02 13:12:12.468581 I VkSuggestions: strip composing typedLen=1 candidates=14 autocorrect=false top=len=1 locale=en token=689 gen=35
2026-08-02 13:12:12.740238 I VkTextCorrection: threshold len=2→len=2 score=0,150 thr=0,140 ✓
2026-08-02 13:12:12.742069 I VkAutocorrect: will correct: len=2 → len=2
2026-08-02 13:12:12.742273 I VkSuggestions: strip composing typedLen=2 candidates=15 autocorrect=true top=len=2 locale=en token=691 gen=35
2026-08-02 13:12:12.906605 I VkTextCorrection: threshold len=3→len=4 score=0,238 thr=0,140 ✓
2026-08-02 13:12:12.908185 I VkAutocorrect: will correct: len=3 → len=4
2026-08-02 13:12:12.908329 I VkSuggestions: strip composing typedLen=3 candidates=15 autocorrect=true top=len=3 locale=en token=692 gen=35
2026-08-02 13:12:13.059768 I VkTextCorrection: threshold len=4→len=4 score=0,159 thr=0,140 ✓
2026-08-02 13:12:13.061422 I VkAutocorrect: will correct: len=4 → len=4
2026-08-02 13:12:13.061562 I VkSuggestions: strip composing typedLen=4 candidates=15 autocorrect=true top=len=4 locale=en token=693 gen=35
2026-08-02 13:12:13.184353 I VkTextCorrection: threshold len=5→len=5 score=0,020 thr=0,140 ○
2026-08-02 13:12:13.185779 I VkSuggestions: strip composing typedLen=5 candidates=14 autocorrect=false top=len=5 locale=en token=693 gen=35
2026-08-02 13:12:14.882502 I VkTextCorrection: threshold len=4→len=4 score=0,159 thr=0,140 ✓
2026-08-02 13:12:14.884016 I VkAutocorrect: will correct: len=4 → len=4
2026-08-02 13:12:14.884130 I VkSuggestions: strip composing typedLen=4 candidates=15 autocorrect=true top=len=4 locale=en token=695 gen=35
2026-08-02 13:12:15.044620 I VkTextCorrection: threshold len=3→len=4 score=0,238 thr=0,140 ✓
2026-08-02 13:12:15.046381 I VkAutocorrect: will correct: len=3 → len=4
2026-08-02 13:12:15.046558 I VkSuggestions: strip composing typedLen=3 candidates=15 autocorrect=true top=len=3 locale=en token=695 gen=35
2026-08-02 13:12:16.325738 I VkKeyPreview: show burst=5 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:12:16.414255 I VkKeyPreview: dismiss burst=5 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:12:16.414438 I VkKeyPress: keys pressed=458
2026-08-02 13:12:16.537940 I VkTextCorrection: threshold len=4→len=5 score=0,221 thr=0,140 ✓
2026-08-02 13:12:16.539211 I VkAutocorrect: will correct: len=4 → len=5
2026-08-02 13:12:16.539329 I VkSuggestions: strip composing typedLen=4 candidates=14 autocorrect=true top=len=4 locale=en token=697 gen=35
2026-08-02 13:12:16.663803 I VkTextCorrection: threshold len=5→len=5 score=0,143 thr=0,140 ✓
2026-08-02 13:12:16.667415 I VkAutocorrect: will correct: len=5 → len=5
2026-08-02 13:12:16.667651 I VkSuggestions: strip composing typedLen=5 candidates=15 autocorrect=true top=len=5 locale=en token=697 gen=35
2026-08-02 13:12:16.957015 I VkTextCorrection: threshold len=7→len=6 score=0,089 thr=0,140 ○
2026-08-02 13:12:16.959687 I VkSuggestions: strip composing typedLen=7 candidates=13 autocorrect=false top=len=7 locale=en token=699 gen=35
2026-08-02 13:12:17.657652 I VkAutocorrect: picked: len=6
2026-08-02 13:12:17.762282 I VkNgram: merge locale=en prev=len=6 preds=8 contextual=8 assets=true
2026-08-02 13:12:17.764363 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=4 locale=en token=699 gen=36
2026-08-02 13:12:19.241147 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=en token=701 gen=36
2026-08-02 13:12:19.398385 I VkTextCorrection: threshold len=2→len=2 score=0,000 thr=0,140 ○
2026-08-02 13:12:19.400437 I VkSuggestions: strip composing typedLen=2 candidates=14 autocorrect=false top=len=2 locale=en token=701 gen=36
2026-08-02 13:12:19.534543 I VkKeyPreview: show burst=6 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:12:19.593834 I VkKeyPreview: dismiss burst=6 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:12:19.593996 I VkKeyPress: keys pressed=464
2026-08-02 13:12:19.717291 I VkTextCorrection: threshold len=3→len=3 score=0,094 thr=0,140 ○
2026-08-02 13:12:19.718878 I VkSuggestions: strip composing typedLen=3 candidates=14 autocorrect=false top=len=3 locale=en token=702 gen=36
2026-08-02 13:12:19.922481 I VkTextCorrection: threshold len=4→len=6 score=0,071 thr=0,140 ○
2026-08-02 13:12:19.924353 I VkSuggestions: strip composing typedLen=4 candidates=14 autocorrect=false top=len=4 locale=en token=703 gen=36
2026-08-02 13:12:21.100525 I VkTextCorrection: threshold len=5→len=8 score=0,033 thr=0,140 ○
2026-08-02 13:12:21.103207 I VkSuggestions: strip composing typedLen=5 candidates=14 autocorrect=false top=len=5 locale=en token=704 gen=36
2026-08-02 13:12:21.311025 I VkTextCorrection: threshold len=6→len=6 score=0,095 thr=0,140 ○
2026-08-02 13:12:21.312180 I VkSuggestions: strip composing typedLen=6 candidates=14 autocorrect=false top=len=6 locale=en token=706 gen=36
2026-08-02 13:12:21.496607 I VkTextCorrection: threshold len=7→len=7 score=0,259 thr=0,140 ✓
2026-08-02 13:12:21.498678 I VkAutocorrect: will correct: len=7 → len=7
2026-08-02 13:12:21.498838 I VkSuggestions: strip composing typedLen=7 candidates=13 autocorrect=true top=len=7 locale=en token=706 gen=36
2026-08-02 13:12:22.558169 I VkKeyPreview: show burst=5 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:12:22.610252 I VkKeyPreview: dismiss burst=5 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:12:22.610421 I VkKeyPress: keys pressed=469
2026-08-02 13:12:22.723269 I VkTextCorrection: threshold len=8→len=8 score=0,288 thr=0,140 ✓
2026-08-02 13:12:22.725018 I VkAutocorrect: will correct: len=8 → len=8
2026-08-02 13:12:22.725207 I VkSuggestions: strip composing typedLen=8 candidates=13 autocorrect=true top=len=8 locale=en token=707 gen=36
2026-08-02 13:12:25.256255 I VkAutocorrect: picked: len=7
2026-08-02 13:12:25.359981 I VkNgram: merge locale=en prev=len=7 preds=8 contextual=8 assets=true
2026-08-02 13:12:25.360520 I VkTextCorrection: rerank prediction head len=3→len=3
2026-08-02 13:12:25.362150 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=3 locale=en token=707 gen=37
2026-08-02 13:12:25.746497 I VkKeyPress: keys pressed=470
2026-08-02 13:12:25.806706 I VkTextCorrection: rerank composing head len=6→len=7
2026-08-02 13:12:25.807919 I VkSuggestions: strip composing typedLen=6 candidates=13 autocorrect=false top=len=6 locale=en token=708 gen=37
2026-08-02 13:12:27.170011 I VkKeyPreview: show burst=1 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:12:27.221530 I VkKeyPreview: dismiss burst=1 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:12:27.327210 I VkTextCorrection: rerank composing head len=9→len=8
2026-08-02 13:12:27.328781 I VkSuggestions: strip composing typedLen=7 candidates=12 autocorrect=false top=len=7 locale=en token=710 gen=37
2026-08-02 13:12:27.478405 I VkSuggestions: strip composing typedLen=8 candidates=12 autocorrect=false top=len=8 locale=en token=710 gen=37
2026-08-02 13:12:27.671166 I VkAutocorrect: kept (typing): len=8
2026-08-02 13:12:27.773387 I VkNgram: merge locale=en prev=len=8 preds=8 contextual=8 assets=true
2026-08-02 13:12:27.775073 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=en token=711 gen=38
2026-08-02 13:12:28.375998 I LatinIME: hideWindow
2026-08-02 13:12:28.377976 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
2026-08-02 13:12:28.378062 I LatinIME: IME handoff begun
2026-08-02 13:12:28.378973 I LatinIME: onFinishInputView
2026-08-02 13:12:28.434798 I VkTyping: ○ hidden
2026-08-02 13:12:28.444267 I LatinIME: After IME hidden: cleanup complete
2026-08-02 13:12:28.746486 I LatinIME: requestHideSelf: 100
2026-08-02 13:13:05.141809 I LatinIME: Starting input. Cursor position = 79,79
2026-08-02 13:13:05.141901 I VkTyping: ▶ open restart=false pkg=len=18 inputType=180385
2026-08-02 13:13:05.595668 I VkLocaleAssets: preload predictors en-US
2026-08-02 13:13:05.709159 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=en token=713 gen=38
2026-08-02 13:13:06.046550 I OnDeviceAssist: ▶ assist_ipc task=topic_tags in=78 chars
2026-08-02 13:13:06.223794 I VkKeyPress: keys pressed=474
2026-08-02 13:13:08.451914 I LatinIME: hideWindow
2026-08-02 13:13:08.462112 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
